horas_estudo,faltas,nota_p1,resultado
21.8,5,3.8,Reprovado
20.6,8,1.8,Reprovado
15.9,6,1.3,Reprovado
16.0,6,3.3,Reprovado
35.3,0,9.1,Aprovado
14.7,5,2.8,Reprovado
8.2,5,3.6,Reprovado
14.8,8,2.3,Reprovado
30.5,2,6.9,Aprovado
22.8,5,5.1,Reprovado
17.0,7,3.6,Reprovado
22.4,6,7.3,Aprovado
37.4,0,8.8,Aprovado
29.6,5,4.5,Reprovado
33.5,5,7.6,Aprovado
15.9,6,5.1,Reprovado
14.2,7,2.4,Reprovado
9.9,7,2.9,Reprovado
28.3,5,7.0,Aprovado
5.6,6,1.0,Reprovado
21.6,5,7.7,Aprovado
20.4,3,5.5,Reprovado
20.0,4,7.6,Aprovado
18.3,6,3.4,Reprovado
18.0,6,4.5,Reprovado
16.9,5,4.5,Reprovado
19.6,7,3.6,Reprovado
7.8,7,1.7,Reprovado
9.2,4,4.5,Reprovado
16.6,6,4.1,Reprovado
30.1,4,9.2,Aprovado
17.5,7,2.4,Reprovado
12.4,2,4.6,Reprovado
16.1,6,3.2,Reprovado
34.6,5,5.4,Reprovado
30.2,7,4.5,Reprovado
21.1,3,4.8,Reprovado
31.2,2,9.6,Aprovado
26.9,4,5.3,Reprovado
36.3,4,6.5,Aprovado
32.2,4,7.4,Aprovado
19.5,4,5.2,Reprovado
28.1,3,5.7,Reprovado
31.1,5,9.8,Aprovado
19.6,5,6.9,Aprovado
18.8,7,3.4,Reprovado
23.4,6,5.7,Reprovado
12.3,5,3.0,Reprovado
10.4,10,1.2,Reprovado
24.2,6,5.6,Reprovado
14.1,6,2.5,Reprovado
33.1,5,7.2,Aprovado
15.9,7,4.2,Reprovado
24.3,6,5.6,Reprovado
16.6,9,0,Reprovado
28.1,7,5.4,Reprovado
27.4,1,10,Aprovado
19.0,4,5.9,Reprovado
27.8,4,7.7,Aprovado
9.6,6,4.7,Reprovado
7.7,5,3.4,Reprovado
27.5,5,7.6,Aprovado
8.6,8,1.7,Reprovado
25.3,5,5.8,Reprovado
19.0,7,3.5,Reprovado
14.7,9,1.8,Reprovado
16.3,4,4.0,Reprovado
31.8,5,8.2,Aprovado
33.8,7,7.0,Aprovado
23.9,4,4.3,Reprovado
12.2,3,4.6,Reprovado
25.1,7,5.1,Reprovado
33.3,2,7.8,Aprovado
24.1,5,6.2,Aprovado
9.5,8,1.8,Reprovado
8.3,6,2.6,Reprovado
29.8,9,4.3,Reprovado
28.5,5,6.7,Aprovado
12.1,4,2.2,Reprovado
21.1,5,4.2,Reprovado
28.9,5,4.6,Reprovado
16.1,7,3.6,Reprovado
30.1,5,7.5,Aprovado
34.0,1,7.5,Aprovado
23.3,3,5.4,Reprovado
17.0,8,1.4,Reprovado
23.1,6,4.4,Reprovado
18.3,7,4.6,Reprovado
18.8,6,3.7,Reprovado
28.8,6,4.7,Reprovado
16.9,8,3.6,Reprovado
13.1,5,2.8,Reprovado
16.7,6,5.5,Reprovado
35.8,6,8.7,Aprovado
12.5,6,2.6,Reprovado
29.4,6,8.9,Aprovado
13.4,6,4.1,Reprovado
12.3,8,3.0,Reprovado
5.1,5,2.1,Reprovado
13.4,5,1.8,Reprovado
28.0,2,5.3,Reprovado
10.9,5,1.2,Reprovado
13.6,8,1.9,Reprovado
30.3,1,8.3,Aprovado
17.8,6,2.7,Reprovado
11.1,6,1.8,Reprovado
21.3,7,6.0,Aprovado
11.6,7,1.6,Reprovado
28.9,4,5.9,Reprovado
12.7,4,4.1,Reprovado
9.1,7,0.8,Reprovado
26.0,4,6.9,Aprovado
25.5,4,6.1,Aprovado
16.5,4,4.9,Reprovado
16.4,7,2.5,Reprovado
27.2,8,4.7,Reprovado
18.3,6,5.2,Reprovado
5.0,7,2.0,Reprovado
22.5,7,5.8,Reprovado
27.3,3,6.2,Aprovado
26.6,1,5.6,Reprovado
26.5,5,5.2,Reprovado
11.4,9,3.0,Reprovado
22.5,7,6.5,Aprovado
20.8,3,5.8,Reprovado
